uid,label_counter,majority_label,label_dist,label_count,entropy,example,old_label,old_labels,premise,hypothesis
111680e,"{'e': 91, 'n': 7, 'c': 2}",e,"[0.91, 0.07, 0.02]","[91, 7, 2]",0.5052482226498788,"{'uid': '111680e', 'premise': ""He dismounted and Ca'daan saw he was smaller than the rest."", 'hypothesis': 'He was shorter than the others.', 'source': 'mnli_agree_3'}",e,"['entailment', 'entailment', 'entailment', 'neutral', 'neutral']",He dismounted and Ca'daan saw he was smaller than the rest.,He was shorter than the others.
8221794333.jpg#0r1n,"{'c': 14, 'e': 22, 'n': 64}",n,"[0.22, 0.64, 0.14]","[22, 64, 14]",1.2897515445864547,"{'uid': '8221794333.jpg#0r1n', 'premise': 'A young boy in a Cookie Monster t-shirt sits on the ground on a fall day, holding a fallen leaf in his hand as an expression of joy lights up on his face.', 'hypothesis': 'A young boy is playing in a pile of leaves.', 'source': 'snli_agree_3'}",e,"['neutral', 'entailment', 'entailment', 'entailment', 'contradiction']","A young boy in a Cookie Monster t-shirt sits on the ground on a fall day, holding a fallen leaf in his hand as an expression of joy lights up on his face.",A young boy is playing in a pile of leaves.
4637931300.jpg#2r1n,"{'c': 10, 'n': 90}",n,"[0.0, 0.9, 0.1]","[0, 90, 10]",0.46899559358928117,"{'uid': '4637931300.jpg#2r1n', 'premise': 'A man in an orange construction vest walks in a parade with a child atop his shoulders, carry balloons.', 'hypothesis': 'The child has no legs.', 'source': 'snli_agree_3'}",n,"['neutral', 'neutral', 'neutral', 'contradiction', 'contradiction']","A man in an orange construction vest walks in a parade with a child atop his shoulders, carry balloons.",The child has no legs.
36715n,"{'n': 80, 'c': 18, 'e': 2}",n,"[0.02, 0.8, 0.18]","[2, 80, 18]",0.8157272136052186,"{'uid': '36715n', 'premise': ""Jon twisted the man's wrist."", 'hypothesis': 'Jon grabbed the man and yelled at him.', 'source': 'mnli_agree_3'}",n,"['neutral', 'neutral', 'contradiction', 'neutral', 'contradiction']",Jon twisted the man's wrist.,Jon grabbed the man and yelled at him.
4116163419.jpg#0r2n,"{'e': 2, 'n': 95, 'c': 3}",n,"[0.02, 0.95, 0.03]","[2, 95, 3]",0.3349444868386896,"{'uid': '4116163419.jpg#0r2n', 'premise': 'A man wearing a suit with a name tag stands reading in front of a microphone as a screen behind him displays a presentation.', 'hypothesis': 'A man with a name tag that reads ""Ben"" is standing in front of a screen.', 'source': 'snli_agree_3'}",e,"['neutral', 'neutral', 'entailment', 'entailment', 'entailment']",A man wearing a suit with a name tag stands reading in front of a microphone as a screen behind him displays a presentation.,"A man with a name tag that reads ""Ben"" is standing in front of a screen."
54489e,"{'e': 62, 'n': 25, 'c': 13}",e,"[0.62, 0.25, 0.13]","[62, 25, 13]",1.310233266532839,"{'uid': '54489e', 'premise': 'STANDARD COSTING - A costing method that attaches costs to cost objects based on reasonable estimates or cost studies and by means of budgeted rates rather than according to actual costs incurred.', 'hypothesis': 'This costing model is based on research and analytical activity.', 'source': 'mnli_agree_3'}",e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']",STANDARD COSTING - A costing method that attaches costs to cost objects based on reasonable estimates or cost studies and by means of budgeted rates rather than according to actual costs incurred.,This costing model is based on research and analytical activity.
100637e,"{'c': 23, 'e': 59, 'n': 18}",e,"[0.59, 0.18, 0.23]","[59, 18, 23]",1.3820910404985092,"{'uid': '100637e', 'premise': ""the only problem is it's not large enough it only holds about i think they squeezed when Ryan struck out his five thousandth player they they squeezed about forty thousand people in there"", 'hypothesis': ""It doesn't hold many people."", 'source': 'mnli_agree_3'}",c,"['entailment', 'entailment', 'contradiction', 'contradiction', 'contradiction']",the only problem is it's not large enough it only holds about i think they squeezed when Ryan struck out his five thousandth player they they squeezed about forty thousand people in there,It doesn't hold many people.
4952155171.jpg#3r1n,"{'e': 27, 'n': 72, 'c': 1}",n,"[0.27, 0.72, 0.01]","[27, 72, 1]",0.9176905631521234,"{'uid': '4952155171.jpg#3r1n', 'premise': 'A young man shielding himself from a stream of water from a fire engine by using an umbrella.', 'hypothesis': 'A broken fire engine shoots water at a young man with an umbrella.', 'source': 'snli_agree_3'}",n,"['neutral', 'contradiction', 'entailment', 'neutral', 'neutral']",A young man shielding himself from a stream of water from a fire engine by using an umbrella.,A broken fire engine shoots water at a young man with an umbrella.
642987597.jpg#1r1n,"{'e': 66, 'n': 33, 'c': 1}",e,"[0.66, 0.33, 0.01]","[66, 33, 1]",0.9899060116098558,"{'uid': '642987597.jpg#1r1n', 'premise': 'A little brown-haired girl up in a tree.', 'hypothesis': 'A girl climbed up the tree.', 'source': 'snli_agree_3'}",e,"['neutral', 'entailment', 'neutral', 'entailment', 'entailment']",A little brown-haired girl up in a tree.,A girl climbed up the tree.
137231942.jpg#1r1e,"{'e': 82, 'n': 17, 'c': 1}",e,"[0.82, 0.17, 0.01]","[82, 17, 1]",0.7357948629753384,"{'uid': '137231942.jpg#1r1e', 'premise': 'A man with blond-hair and tattoos strolls behind bleachers on the cellphone.', 'hypothesis': 'A man talks on his cell phone.', 'source': 'snli_agree_3'}",e,"['entailment', 'neutral', 'entailment', 'entailment', 'neutral']",A man with blond-hair and tattoos strolls behind bleachers on the cellphone.,A man talks on his cell phone.
82988c,"{'n': 40, 'c': 58, 'e': 2}",c,"[0.02, 0.4, 0.58]","[2, 40, 58]",1.097455974645788,"{'uid': '82988c', 'premise': ""so you know well a lot of the stuff you hear coming from South Africa now and from West Africa that's considered world music because it's not particularly using certain types of folk styles"", 'hypothesis': 'They rely too heavily on the types of folk styles.', 'source': 'mnli_agree_3'}",c,"['contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction']",so you know well a lot of the stuff you hear coming from South Africa now and from West Africa that's considered world music because it's not particularly using certain types of folk styles,They rely too heavily on the types of folk styles.
96583n,"{'n': 78, 'c': 22}",n,"[0.0, 0.78, 0.22]","[0, 78, 22]",0.7601675029619656,"{'uid': '96583n', 'premise': 'Mack Lee, Body Servant of General Robert E. Lee Through the Civil War , published in 1918.', 'hypothesis': 'The book was first drafted in early 1915.', 'source': 'mnli_agree_3'}",n,"['neutral', 'contradiction', 'neutral', 'contradiction', 'neutral']","Mack Lee, Body Servant of General Robert E. Lee Through the Civil War , published in 1918.",The book was first drafted in early 1915.
4639918324.jpg#3r1e,"{'e': 92, 'n': 7, 'c': 1}",e,"[0.92, 0.07, 0.01]","[92, 7, 1]",0.4456643456582405,"{'uid': '4639918324.jpg#3r1e', 'premise': 'Number 916 is hoping that he is going to win the race.', 'hypothesis': 'A person is competing in a race.', 'source': 'snli_agree_3'}",e,"['entailment', 'entailment', 'neutral', 'entailment', 'neutral']",Number 916 is hoping that he is going to win the race.,A person is competing in a race.
3244632670.jpg#1r1c,"{'c': 78, 'n': 21, 'e': 1}",c,"[0.01, 0.21, 0.78]","[1, 21, 78]",0.8188558002786313,"{'uid': '3244632670.jpg#1r1c', 'premise': 'A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.', 'hypothesis': 'A chef jumps', 'source': 'snli_agree_3'}",c,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral']",A chef speaks into a microphone about a mixed salad contained in a bowl with a decorative lid.,A chef jumps
2833560457.jpg#4r1n,"{'e': 72, 'n': 28}",e,"[0.72, 0.28, 0.0]","[72, 28, 0]",0.8554508105601307,"{'uid': '2833560457.jpg#4r1n', 'premise': 'A dog running on grass', 'hypothesis': 'A dog is playing outside.', 'source': 'snli_agree_3'}",n,"['neutral', 'entailment', 'neutral', 'neutral', 'entailment']",A dog running on grass,A dog is playing outside.
101467n,"{'n': 38, 'e': 56, 'c': 6}",e,"[0.56, 0.38, 0.06]","[56, 38, 6]",1.2424272282706346,"{'uid': '101467n', 'premise': 'Horwitz makes us see that the pinched circumstances of their lives are not so different from the conditions of their ancestors, dirt-poor yeoman farmers who seldom saw, much less owned, a slave.', 'hypothesis': 'Horwitz says that they are as unhappy as their ancestors.', 'source': 'mnli_agree_3'}",n,"['neutral', 'entailment', 'neutral', 'neutral', 'contradiction']","Horwitz makes us see that the pinched circumstances of their lives are not so different from the conditions of their ancestors, dirt-poor yeoman farmers who seldom saw, much less owned, a slave.",Horwitz says that they are as unhappy as their ancestors.
3413019648.jpg#0r1n,"{'e': 12, 'n': 80, 'c': 8}",n,"[0.12, 0.8, 0.08]","[12, 80, 8]",0.916118213778296,"{'uid': '3413019648.jpg#0r1n', 'premise': 'A person in a green canoe paddles down rapids carrying oars and wearing an orange and black top.', 'hypothesis': 'a man with a life vest paddles a canoe', 'source': 'snli_agree_3'}",n,"['neutral', 'neutral', 'contradiction', 'contradiction', 'neutral']",A person in a green canoe paddles down rapids carrying oars and wearing an orange and black top.,a man with a life vest paddles a canoe
6979707950.jpg#0r1c,"{'c': 74, 'n': 26}",c,"[0.0, 0.26, 0.74]","[0, 26, 74]",0.8267463724926178,"{'uid': '6979707950.jpg#0r1c', 'premise': 'A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front.', 'hypothesis': 'A race car driver is riding in an 18-wheeler.', 'source': 'snli_agree_3'}",c,"['contradiction', 'contradiction', 'contradiction', 'entailment', 'neutral']",A race car driver with a red suit and colorful helmet drives a car on the street with the number 12 on the front.,A race car driver is riding in an 18-wheeler.
24929e,"{'e': 82, 'n': 12, 'c': 6}",e,"[0.82, 0.12, 0.06]","[82, 12, 6]",0.8453702958580881,"{'uid': '24929e', 'premise': 'Chapter 1 provides general background information on emission control technologies.', 'hypothesis': 'Chapter 1 shows general info ', 'source': 'mnli_agree_3'}",e,"['entailment', 'entailment', 'entailment', 'neutral', 'contradiction']",Chapter 1 provides general background information on emission control technologies.,Chapter 1 shows general info 
28804571.jpg#1r1c,"{'c': 86, 'n': 13, 'e': 1}",c,"[0.01, 0.13, 0.86]","[1, 13, 86]",0.6362113373725785,"{'uid': '28804571.jpg#1r1c', 'premise': 'Semi-pro martial artist practices his most powerful moves.', 'hypothesis': 'The kid just started his kung fu training class.', 'source': 'snli_agree_3'}",c,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral']",Semi-pro martial artist practices his most powerful moves.,The kid just started his kung fu training class.
